,0_WRIST_x,0_WRIST_y,0_THUMB_CMC_x,0_THUMB_CMC_y,0_THUMB_MCP_x,0_THUMB_MCP_y,0_THUMB_IP_x,0_THUMB_IP_y,0_THUMB_TIP_x,0_THUMB_TIP_y,0_INDEX_FINGER_MCP_x,0_INDEX_FINGER_MCP_y,0_INDEX_FINGER_PIP_x,0_INDEX_FINGER_PIP_y,0_INDEX_FINGER_DIP_x,0_INDEX_FINGER_DIP_y,0_INDEX_FINGER_TIP_x,0_INDEX_FINGER_TIP_y,0_MIDDLE_FINGER_MCP_x,0_MIDDLE_FINGER_MCP_y,0_MIDDLE_FINGER_PIP_x,0_MIDDLE_FINGER_PIP_y,0_MIDDLE_FINGER_DIP_x,0_MIDDLE_FINGER_DIP_y,0_MIDDLE_FINGER_TIP_x,0_MIDDLE_FINGER_TIP_y,0_RING_FINGER_MCP_x,0_RING_FINGER_MCP_y,0_RING_FINGER_PIP_x,0_RING_FINGER_PIP_y,0_RING_FINGER_DIP_x,0_RING_FINGER_DIP_y,0_RING_FINGER_TIP_x,0_RING_FINGER_TIP_y,0_PINKY_MCP_x,0_PINKY_MCP_y,0_PINKY_PIP_x,0_PINKY_PIP_y,0_PINKY_DIP_x,0_PINKY_DIP_y,0_PINKY_TIP_x,0_PINKY_TIP_y,label
0,0.0,0.0,-44.741477966308594,-17.500333786010742,-79.44351196289062,-60.87115287780762,-95.99407196044922,-97.23910331726074,-104.23469543457033,-126.48663997650146,-52.88154602050781,-121.17412090301514,-58.65497589111328,-174.6218776702881,-67.21424102783203,-191.2232780456543,-77.80529022216797,-200.79015254974365,-18.49102020263672,-127.27397918701172,-14.903831481933594,-199.0239143371582,-13.93585205078125,-247.8707456588745,-14.642372131347656,-291.29576683044434,13.806266784667969,-115.18874645233154,22.38262176513672,-181.45751953125,29.471435546875,-229.5257306098938,33.189544677734375,-274.25010681152344,44.10289764404297,-89.99905586242676,63.56395721435547,-132.37298011779785,79.89875793457031,-162.50935077667236,91.09333038330078,-189.96896266937256,0
1,0.0,0.0,-50.39756774902344,-30.470924377441406,-90.52810668945312,-78.92924308776855,-123.38249206542967,-114.34661865234376,-154.9582862854004,-130.5951976776123,-64.08222198486328,-139.6735668182373,-80.29926300048828,-185.33595085144043,-89.39117431640625,-218.57155323028564,-94.2819595336914,-247.22588539123532,-28.89591217041016,-150.3303623199463,-29.149932861328125,-205.7800054550171,-27.947311401367188,-244.69377994537356,-26.42040252685547,-277.19510078430176,4.034957885742188,-145.71066856384277,10.894432067871094,-198.686957359314,17.702713012695312,-233.7315130233765,22.299041748046875,-263.4532642364502,34.3475341796875,-127.2911024093628,56.84391021728516,-159.2420768737793,74.19635772705078,-176.3584327697754,87.88246154785156,-190.92166900634768,0
2,0.0,0.0,-49.44007873535156,-19.52098846435547,-89.52014923095703,-64.875168800354,-121.39976501464844,-100.3154468536377,-155.4369354248047,-114.0031671524048,-62.12257385253906,-131.86450481414795,-80.88199615478516,-176.69589757919312,-89.88834381103516,-205.82181215286252,-94.75334167480467,-231.32680892944336,-27.63782501220703,-141.49160385131836,-29.880104064941406,-198.16006422042847,-31.353836059570312,-233.9438009262085,-31.51473999023437,-262.5228881835937,5.825462341308594,-136.12787246704102,14.038772583007812,-188.84752750396729,18.711471557617188,-222.4971342086792,22.499961853027344,-252.55383968353271,37.255592346191406,-118.80183219909668,59.3035888671875,-151.86213970184326,73.93577575683594,-173.377525806427,86.05083465576172,-193.9513850212097,0
3,0.0,0.0,-47.55016326904297,-18.229751586914062,-89.75528717041016,-64.61055278778076,-121.40304565429688,-98.1791639328003,-152.80059814453125,-110.10648250579834,-61.05812072753906,-131.31903648376465,-77.93525695800781,-175.51879405975342,-86.5988540649414,-205.22919416427607,-91.06563568115234,-227.9975938796997,-27.36518859863281,-139.6530246734619,-27.90729522705078,-194.77741956710813,-27.17353820800781,-228.98551225662231,-26.103286743164062,-256.2418842315674,4.717597961425781,-135.1495885848999,9.771156311035156,-187.89806127548215,12.730560302734377,-221.1649990081787,14.70783233642578,-249.46166038513184,34.535064697265625,-120.36847114562988,55.91255187988281,-150.66143989562988,69.56642150878906,-171.3380527496338,81.00086212158203,-190.89064121246335,0
4,0.0,0.0,-46.9305419921875,-18.527841567993164,-86.78634643554688,-63.21139812469482,-118.04157257080078,-96.32017135620116,-149.39632415771484,-108.74992847442628,-58.503074645996094,-128.09359073638916,-75.41542053222656,-171.14891052246094,-84.32605743408203,-200.9800100326538,-89.2880630493164,-224.33624982833865,-26.2982177734375,-137.1857786178589,-27.28012084960937,-193.10560941696167,-27.398223876953125,-227.9814076423645,-27.56168365478516,-255.80225944519043,4.730072021484375,-132.6688528060913,10.96172332763672,-186.0068964958191,15.752296447753906,-218.3452033996582,18.83338928222656,-245.26290893554688,33.44230651855469,-116.77720069885254,55.86715698242188,-146.92225456237793,70.85861206054688,-166.4706516265869,82.87151336669922,-183.77438306808472,0
5,0.0,0.0,-45.77789306640625,-17.678375244140625,-85.14163970947266,-62.09203720092773,-116.1003875732422,-95.4605770111084,-147.26802825927734,-108.31759929656982,-57.52174377441406,-126.79565906524658,-73.80348205566406,-169.58264350891113,-82.50442504882812,-198.86627197265625,-87.65617370605469,-222.3482251167297,-25.31776428222656,-135.9823751449585,-26.367530822753903,-191.5811920166016,-26.556739807128903,-226.47751092910767,-26.792526245117188,-254.64388847351077,5.627632141113281,-131.19924545288086,12.886734008789062,-183.2424545288086,19.01996612548828,-215.20477294921875,23.33812713623047,-242.31518268585205,33.978271484375,-114.720139503479,56.55937194824219,-143.2865810394287,72.64846801757812,-161.69421672821045,85.50651550292969,-178.58761310577393,0
6,0.0,0.0,-44.14340972900391,-18.50698471069336,-83.22566986083984,-62.15756893157959,-114.5034408569336,-93.85251045227052,-145.49360275268555,-106.1656665802002,-56.16619110107422,-126.24484062194824,-72.98892974853516,-169.54946279525757,-81.5130615234375,-198.28207969665527,-86.33899688720703,-222.01596021652225,-23.88126373291016,-135.40307521820068,-26.12873077392578,-190.37192344665527,-26.054000854492188,-225.4850935935974,-25.654335021972656,-253.3586311340332,7.244300842285156,-130.11357307434082,14.219932556152344,-181.44652605056763,19.235572814941406,-212.95567274093628,22.587547302246094,-239.62524890899655,35.98217010498047,-113.01106452941896,57.872352600097656,-139.7965908050537,72.18742370605469,-156.37269973754883,83.45184326171875,-171.83375358581543,0
7,0.0,0.0,-43.61366271972656,-18.72450828552246,-82.13882446289062,-60.462684631347656,-113.4377670288086,-91.82727813720705,-144.38426971435547,-105.47431468963624,-55.17627716064453,-125.86513996124268,-72.12665557861328,-169.44166660308838,-80.90824127197266,-198.61323595047,-85.55034637451172,-222.22862005233765,-22.993621826171875,-134.65148448944092,-24.21875,-189.5927882194519,-24.269561767578125,-224.54121351242063,-23.61923217773437,-252.2608995437622,7.766304016113281,-129.10504817962646,15.766029357910156,-180.48490047454837,20.959815979003903,-211.86867713928223,24.704360961914062,-238.03864002227783,35.52711486816406,-111.80836200714111,57.98748016357422,-138.76574993133545,72.56168365478516,-155.63007831573486,84.47334289550781,-170.89317798614502,0
8,0.0,0.0,-43.3905029296875,-18.01797866821289,-81.5298080444336,-60.10869026184082,-112.12177276611328,-91.83094024658205,-142.78823852539062,-105.67816257476808,-54.56432342529297,-125.17377376556396,-70.55084228515625,-169.52719688415527,-79.20955657958984,-199.0945029258728,-84.04117584228516,-223.02140951156616,-22.78724670410156,-133.42183113098145,-24.895782470703125,-188.0561399459839,-25.142860412597656,-222.9924845695496,-24.75605010986328,-250.66497802734372,7.720985412597656,-127.73972511291504,14.531173706054688,-179.08624649047852,19.77333068847656,-210.54779291152957,23.53076934814453,-237.3547124862671,35.84308624267578,-110.70356369018556,57.16022491455078,-136.86537265777588,71.12236022949219,-152.7817153930664,82.4993896484375,-167.57726669311523,0
9,0.0,0.0,-43.25031280517578,-17.947111129760742,-80.64075469970703,-58.63264560699463,-111.08909606933594,-89.62313175201416,-141.38751983642578,-103.48341464996338,-53.6440658569336,-122.92951583862305,-69.71843719482422,-167.16464281082153,-78.61080169677734,-196.4643430709839,-84.31015014648438,-220.5520749092102,-21.930885314941406,-131.6702127456665,-23.309669494628903,-187.19404220581052,-23.7286376953125,-222.5135064125061,-23.77426147460937,-250.6719017028809,8.376693725585938,-126.06672763824464,14.629631042480469,-178.19896459579468,19.41516876220703,-210.32069206237796,22.79796600341797,-237.80375003814697,36.10141754150391,-108.73271942138672,57.21427917480469,-136.0997200012207,71.50943756103516,-153.8459587097168,83.07666778564453,-170.23140907287598,0
